DeviceDateTime,Longitude,Latitude,Speed,Di1,Di2,Di3
39:13.0,21.173425,42.651717,0,1,1,1
39:17.0,21.173425,42.651717,0,1,0,1
39:21.0,21.173388,42.651737,0,1,1,1
39:29.0,21.173393,42.651737,7,1,1,1
39:33.0,21.17344,42.651535,19,1,0,1
39:35.0,21.173442,42.65145,11,1,1,1
39:37.0,21.173457,42.65141,6,1,0,1
39:40.0,21.17353,42.65138,14,1,0,0
39:45.0,21.174133,42.651363,35,1,1,0
39:46.0,21.17425,42.651357,33,1,0,0
39:50.0,21.174587,42.651263,19,1,1,0
39:53.0,21.174638,42.651148,20,1,1,0
40:02.0,21.173927,42.650395,52,1,0,0
